Game,Platform,Score,Genre
Titanfall,Xbox 360,8.9,"Shooter, First-Person"
Titanfall (Collector's Edition),Xbox One,8.9,"Shooter, First-Person"
Titanfall,PC,8.9,"Shooter, First-Person"
Final Fantasy X / X-2 HD Remaster (Limited Edition),PlayStation 3,9.3,RPG
Final Fantasy X / X-2 HD Remaster,PlayStation Vita,9.3,RPG
Final Fantasy X / X-2 HD Remaster,PlayStation 3,9.3,RPG
Basement Crawl,PlayStation 4,3,Action
The Walking Dead: Season Two -- Episode 2: A House Divided,Xbox 360,9.5,Adventure
The Walking Dead: Season Two -- Episode 2: A House Divided,iPhone,9.5,Adventure
The Walking Dead: Season Two -- Episode 2: A House Divided,PC,9.5,Adventure
The Walking Dead: Season Two -- Episode 2: A House Divided,PlayStation Vita,9.5,Adventure
The Walking Dead: Season Two -- Episode 2: A House Divided,PlayStation 3,9.5,Adventure
The Witch and the Hundred Knight,PlayStation 3,5.8,"Action, RPG"
South Park: The Stick of Truth,PlayStation 3,9,RPG
South Park: The Stick of Truth,PC,9,RPG
South Park: The Stick of Truth,Xbox 360,9,RPG
Thief ,PlayStation 3,6.5,"Adventure, Adventure"
The LEGO Movie Videogame,PlayStation 4,6.5,"Action, Adventure"
The LEGO Movie Videogame,Xbox One,6.5,"Action, Adventure"
The LEGO Movie Videogame,PC,6.5,"Action, Adventure"
The LEGO Movie Videogame,Wii U,6.5,"Action, Adventure"
The LEGO Movie Videogame,Xbox 360,6.5,"Action, Adventure"
The LEGO Movie Videogame,PlayStation 3,6.5,"Action, Adventure"
Borderlands 2: Mad Moxxi and the Wedding Day Massacre,Xbox 360,5.7,"Shooter, RPG"
Lightning Returns: Final Fantasy XIII,PlayStation 3,7,RPG
Flappy Bird,Android,5.4,Action
Flappy Bird,Windows Phone,5.4,Action
Flappy Bird,iPhone,5.4,Action
Dustforce,PlayStation 3,7.7,Platformer
Dustforce,PlayStation Vita,7.7,Platformer
Jazzpunk,PC,7,Adventure
Dragon Ball Z: Battle of Z,PlayStation 3,6.6,Fighting
Dragon Ball Z: Battle of Z,Xbox 360,6.6,Fighting
Dragon Ball Z: Battle of Z,PlayStation Vita,6.6,Fighting
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,PC,8.5,Adventure
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,Xbox 360,8.5,Adventure
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,PlayStation 3,8.5,Adventure
Unepic,Wii U,7,Platformer
The Castle Doctrine,PC,4.5,Strategy
Surge Deluxe,PlayStation Vita,7.2,Puzzle
Rekoil,PC,3,Shooter
Fable Anniversary ,Xbox 360,8,RPG
Octodad: Dadliest Catch,PC,7.8,Adventure
Blackguards,PC,7.8,RPG
Might and Magic X Legacy,PC,7.3,RPG
Insurgency,PC,7.5,Shooter
Tomb Raider: Definitive Edition,PlayStation 4,9.1,Action
Tomb Raider: Definitive Edition,Xbox One,9.1,Action
Consortium,PC,7.2,Simulation
Minecraft,PlayStation 3,9.5,Action
KickBeat,PC,6.5,"Music, Action"
OlliOlli,PlayStation Vita,7.7,Action
Assassin's Creed Liberation HD,Xbox 360,5.2,Action
Assassin's Creed Liberation HD,PC,5.2,Action
Assassin's Creed Liberation HD,PlayStation 3,5.2,Action
X-Men: Battle of the Atom,iPhone,4,"Card, Battle"
Broken Age: Act 1,PC,9.5,Adventure
Joe Danger Infinity,iPhone,8.6,Action
Nidhogg,PC,9,Fighting
Continue?9876543210,PC,7.9,Adventure
The Banner Saga,PC,8.6,"Strategy, RPG"
Don't Starve,PC,7.5,Adventure
Don't Starve,PlayStation 4,7.5,Adventure
Not the Robots,PC,6.5,Action
Halo: Spartan Assault,Xbox One,5.8,Shooter
Zumba Fitness World Party,Xbox One,7.2,"Sports, Other"
Metal Gear Rising: Revengeance ,PC,8.5,Action
Dr. Luigi,Wii U,7.5,Puzzle
"Sorcery Saga: The Curse of the Great Curry God (Hot and Spicy, Everything Nicey Limited Edition)",PlayStation Vita,7.5,RPG
Sorcery Saga: The Curse of the Great Curry God,PlayStation Vita,7.5,RPG
Terraria,PlayStation Vita,9.2,"Action, RPG"
Max: The Curse of Brotherhood,Xbox One,6,Action
NES Remix,Wii U,8,Party
Ravensword: Shadowlands,PC,5.6,"Action, RPG"
Borderlands 2: How Marcus Saved Mercenary Day,Xbox 360,7.3,"Shooter, RPG"
Borderlands 2: How Marcus Saved Mercenary Day,PC,7.3,"Shooter, RPG"
Ys: Memories of Celceta,PlayStation Vita,7.5,"Action, RPG"
The Room Two,iPad,8.6,Puzzle
Republique,iPhone,8.5,Adventure
Cut The Rope 2,iPhone,8,Puzzle
Samurai Gunn,PC,8.3,Shooter
Grand Theft Auto: San Andreas,iPhone,8.3,"Action, Adventure"
AquaPazza,PlayStation 3,7,Fighting
The Walking Dead: Season Two -- Episode 1: All That Remains,Xbox 360,8,Adventure
The Walking Dead: Season Two -- Episode 1: All That Remains,iPhone,8,Adventure
The Walking Dead: Season Two -- Episode 1: All That Remains,PC,8,Adventure
The Walking Dead: A Telltale Game Series -- Season Two,Xbox 360,8,Adventure
The Walking Dead: A Telltale Game Series -- Season Two,PlayStation Vita,8,Adventure
The Walking Dead: A Telltale Game Series -- Season Two,iPhone,8,Adventure
The Walking Dead: Season Two -- Episode 1: All That Remains,PlayStation Vita,8,Adventure
The Walking Dead: Season Two -- Episode 1: All That Remains,PlayStation 3,8,Adventure
The Walking Dead: A Telltale Game Series -- Season Two ,PlayStation 3,8,Adventure
The Walking Dead: Season Two -- Episode 1: All That Remains,PlayStation 3,8,Adventure
Assassin's Creed IV: Black Flag -- Freedom Cry,PlayStation 4,7,"Action, Adventure"
World of Warplanes,PC,7.8,Flight
Angry Birds Go!,iPhone,5,"Racing, Action"
Angry Birds Go!,Android,5,"Racing, Action"
Saint Seiya: Brave Soldiers,PlayStation 3,5.5,Fighting
Doki-Doki Universe,PlayStation 4,7,Adventure
Doki-Doki Universe,PlayStation 3,7,Adventure
Doki-Doki Universe,PlayStation Vita,7,Adventure
Assassin's Creed Pirates,iPhone,5.5,Action
Air Conflicts: Vietnam,PlayStation 3,3.5,"Flight, Action"
Air Conflicts: Vietnam,Xbox 360,3.5,"Flight, Action"
Air Conflicts: Vietnam,PC,3.5,"Flight, Action"
Young Justice: Legacy,Xbox 360,4.8,"Action, RPG"
Young Justice: Legacy,PC,4.8,"Action, RPG"
Young Justice: Legacy,PlayStation 3,4.8,"Action, RPG"
The Novelist,PC,6.5,Puzzle
The Amazing Spider-Man,PlayStation Vita,4.8,Action
Peggle 2,Xbox One,9,"Puzzle, Action"
Adventure Time: Explore the Dungeon Because I Don't Know!,Xbox 360,3.5,Adventure
Adventure Time: Explore the Dungeon Because I Don't Know!,Nintendo 3DS,3.5,Adventure
Adventure Time: Explore the Dungeon Because I Don't Know!,PlayStation 3,3.5,Adventure
Adventure Time: Explore the Dungeon Because I Don't Know!,Wii U,3.5,Adventure
Adventure Time: Explore the Dungeon Because I Don't Know!,PC,3.5,Adventure
Gran Turismo 6 ,PlayStation 3,8,Racing
The Guided Fate Paradox,PlayStation 3,7,RPG
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,Linux,6.5,Adventure
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,Macintosh,6.5,Adventure
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,Xbox 360,6.5,Adventure
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,PC,6.5,Adventure
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,PlayStation 3,6.5,Adventure
Bravely Default,Nintendo 3DS,8.6,RPG
Warframe,PlayStation 4,7.5,Shooter
Escape Plan,PlayStation 4,8,"Puzzle, Action"
Flower,PlayStation Vita,9,Action
Tiny Brains,PlayStation 3,4.5,Puzzle
Tiny Brains,PlayStation 4,4.5,Puzzle
Tiny Brains,PC,4.5,Puzzle
Redshirt,PC,7.4,Action
X Rebirth,PC,4.3,Simulation
DC Universe Online,PlayStation 4,8,RPG
FIFA 14,Xbox One,9.1,Sports
FIFA 14,PlayStation 4,9.1,Sports
FIFA 14,Xbox 360,9.1,Sports
Baldur's Gate II -- Enhanced Edition,PC,8.3,RPG
Device 6,iPhone,9.5,"Puzzle, Adventure"
Deadfall Adventures,PC,4,Shooter
Chivalry: Deadliest Warrior,PC,8.1,Action
Battlefield 4,Xbox One,8.5,Shooter
Zoo Tycoon ,Xbox One,5.5,Simulation
Fighter Within,Xbox One,2.7,"Sports, Fighting"
Injustice: Gods Among Us -- Ultimate Edition,PC,8.2,Fighting
Injustice: Gods Among Us -- Ultimate Edition,PlayStation Vita,8.2,Fighting
Injustice: Gods Among Us -- Ultimate Edition,PlayStation 4,8.2,Fighting
Mario Party: Island Tour,Nintendo 3DS,5.5,Party
Super Motherload,PlayStation 4,6,"Action, Puzzle"
Just Dance 2014,PlayStation 4,7.5,Music
Ryse: Son of Rome,Xbox One,6.8,"Action, Adventure"
Wii Fit U,Wii U,7.5,Sports
Need for Speed Rivals,PC,8,Racing
Need for Speed Rivals,PlayStation 4,8,Racing
Need for Speed Rivals,Xbox One,8,Racing
SimCity: Cities of Tomorrow,PC,7.5,Simulation
Forza Motorsport 5,Xbox One,8.8,Racing
Tearaway,PlayStation Vita,9.3,Adventure
Xbox One,Xbox One,7.8,None
Battlefield 4,PlayStation 4,8.5,Shooter
Super Mario 3D World,Wii U,9.6,Platformer
NBA Live 14,Xbox One,4.3,Sports
NBA Live 14,PlayStation 4,4.3,Sports
The Pinball Arcade,PlayStation 4,9,Pinball
The Pinball Arcade,PC,9,Pinball
Dead Rising 3,Xbox One,8.3,Action
Powerstar Golf,Xbox One,7,Sports
Crimson Dragon ,Xbox One,5.9,Action
LocoCycle,Xbox One,6.4,Action
Killer Instinct,Xbox One,8.4,Fighting
Madden NFL 25,PlayStation 4,7.6,Sports
Madden NFL 25,Xbox One,7.6,Sports
The Legend of Zelda: A Link Between Worlds,Nintendo 3DS,9.4,Adventure
PlayStation 4,PlayStation 4,8.2,None
Killzone: Shadow Fall,PlayStation 4,8,Shooter
Knack,PlayStation 4,5.9,Action
Resogun,PlayStation 4,9,Shooter
Contrast,PC,7.5,"Puzzle, Action"
Contrast,PlayStation 4,7.5,"Puzzle, Action"
Flower,PlayStation 4,9.5,Action
Stick it to The Man,PlayStation 3,8.6,"Adventure, Platformer"
NBA 2K14,PlayStation 4,8.9,Sports
NBA 2K14,Xbox One,8.9,Sports
Regular Show: Mordecai and Rigby in 8-Bit Land,Nintendo 3DS,6.2,Action
Ratchet &amp; Clank: Into the Nexus,PlayStation 3,8.2,Platformer
Bioshock Infinite: Burial at Sea -- Episode One,PC,7,Shooter
Bioshock Infinite: Burial at Sea -- Episode One,Xbox 360,7,Shooter
Bioshock Infinite: Burial at Sea -- Episode One,PlayStation 3,7,Shooter
Professor Layton and the Azran Legacy,Nintendo 3DS,8.5,Adventure
XCOM: Enemy Within -- Commander Edition,PlayStation 3,9,Strategy
XCOM: Enemy Within -- Commander Edition,Xbox 360,9,Strategy
XCOM: Enemy Within,PC,9,Strategy
Path of Exile ,PC,8.8,"Action, RPG"
Mario &amp; Sonic at the Sochi 2014 Olympic Winter Games,Wii U,4.5,Sports
Rayman Fiesta Run,iPhone,8.9,Platformer
Call of Duty: Ghosts,PlayStation 4,8.8,Shooter
Call of Duty: Ghosts,PlayStation 3,8.8,Shooter
Call of Duty: Ghosts,PC,8.8,Shooter
Call of Duty: Ghosts,Xbox One,8.8,Shooter
Call of Duty: Ghosts,Xbox 360,8.8,Shooter
Call of Duty: Ghosts,Wii U,8.8,Shooter
Hometown Story,Nintendo 3DS,5,Adventure
SpongeBob SquarePants: Plankton's Robotic Revenge,PlayStation 3,3.5,Adventure
Football Manager 2014,PC,8,"Sports, Simulation"
Football Manager 2014,Macintosh,8,"Sports, Simulation"
Football Manager 2014,Linux,8,"Sports, Simulation"
Nickelodeon's Teenage Mutant Ninja Turtles,Nintendo 3DS,5,Action
Assassin's Creed IV: Black Flag,PlayStation 4,8.5,"Action, Adventure"
Assassin's Creed IV: Black Flag,Wii U,8.5,"Action, Adventure"
Assassin's Creed IV: Black Flag,PC,8.5,"Action, Adventure"
Assassin's Creed IV: Black Flag,PlayStation 3,8.5,"Action, Adventure"
Assassin's Creed IV: Black Flag,Xbox 360,8.5,"Action, Adventure"
Assassin's Creed IV: Black Flag,Xbox One,8.5,"Action, Adventure"
Battlefield 4,PC,8.5,Shooter
Battlefield 4,Xbox 360,8,Shooter
Battlefield 4,PlayStation 3,8,Shooter
WWE 2K14,Xbox 360,8.7,Wrestling
WWE 2K14 ,PlayStation 3,8.7,Wrestling
Prime World,PC,5.9,RPG
Batman: Arkham Origins Blackgate -- Deluxe Edition,PC,7.4,Action
Batman: Arkham Origins Blackgate -- Deluxe Edition,PlayStation 3,7.4,Action
Batman: Arkham Origins Blackgate -- Deluxe Edition,Xbox 360,7.4,Action
Batman: Arkham Origins Blackgate,Nintendo 3DS,7.4,Action
Batman: Arkham Origins Blackgate,PlayStation Vita,7.4,Action
Batman: Arkham Origins,PC,7.8,Action
Batman: Arkham Origins,Xbox 360,7.8,Action
Batman: Arkham Origins,PlayStation 3,7.8,Action
Batman: Arkham Origins,Wii U,7.8,Action
Phoenix Wright: Ace Attorney -- Dual Destinies,Nintendo 3DS,7.2,Adventure
How to Survive,PC,5.4,Action
How to Survive,Xbox 360,5.4,Action
Wii Party U,Wii U,7.5,Party
Sonic: Lost World,Nintendo 3DS,6.8,Platformer
Rocksmith 2014,PlayStation 3,9,Music
Rocksmith 2014 (No Cable Included -- For Rocksmith Owners),Xbox 360,9,Music
Rocksmith 2014,PC,9,Music
Rocksmith 2014,Macintosh,9,Music
Rocksmith 2014 (No Cable Included -- For Rocksmith Owners),PlayStation 3,9,Music
Rocksmith 2014,Xbox 360,9,Music
Borderlands 2: T.K. Baha's Bloody Harvest,Xbox 360,7,"Shooter, RPG"
LEGO Marvel Super Heroes,PlayStation 3,9,Action
LEGO Marvel Super Heroes,Xbox One,9,Action
LEGO Marvel Super Heroes ,PC,9,Action
LEGO Marvel Super Heroes,PlayStation 4,9,Action
LEGO Marvel Super Heroes,Xbox 360,9,Action
LEGO Marvel Super Heroes,Wii U,9,Action
Deus Ex: Human Revolution -- Director's Cut,Wii U,8.3,Shooter
Rune Factory 4,Nintendo 3DS,8,RPG
The Stanley Parable,PC,8.8,Adventure
The Stanley Parable,Macintosh,8.8,Adventure
Sonic: Lost World,Wii U,5.8,Platformer
Glare,PC,7.1,"Platformer, Action"
Knock-Knock,PC,6.2,Adventure
140,PC,8,Platformer
Soundodger,PC,7.3,"Music, Action"
Skylanders Swap Force,Xbox 360,8.2,"Action, Adventure"
Skylanders Swap Force,PlayStation 3,8.2,"Action, Adventure"
Skylanders Swap Force,Wii U,8.2,"Action, Adventure"
Skylanders Swap Force,Wii,8.2,"Action, Adventure"
Skylanders Swap Force,Nintendo 3DS,7.1,Adventure
Legends of Aethereus,PC,4.7,"Action, RPG"
Marvel Puzzle Quest: Dark Reign,iPhone,9.1,"Puzzle, RPG"
Just Dance 2014,Wii U,7.9,Music
Just Dance 2014,Xbox 360,7.5,Music
Just Dance 2014,Wii,7.7,Music
Just Dance 2014,PlayStation 3,7.7,Music
The Wolf Among Us: Episode 1 -- Faith,Xbox 360,9,Adventure
The Wolf Among Us: Episode 1 -- Faith ,iPad,9,Adventure
The Wolf Among Us: Episode 1 -- Faith,PC,9,Adventure
The Wolf Among Us: Episode 1 -- Faith,PlayStation 3,9,Adventure
Dead Man's Draw,iPhone,6.2,Card
Dragon's Prophet,PC,5.1,RPG
Beyond: Two Souls,PlayStation 3,6,Adventure
Lone Survivor (Director’s Cut),PlayStation Vita,8.6,Adventure
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,Linux,5.5,Adventure
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,PC,5.5,Adventure
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,Xbox 360,5.5,Adventure
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,Macintosh,5.5,Adventure
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,PlayStation 3,5.5,Adventure
Pokemon Y,Nintendo 3DS,9,RPG
Pokemon X,Nintendo 3DS,9,RPG
F1 2013,PlayStation 3,8,Racing
F1 2013,Xbox 360,8,Racing
F1 2013,PC,8,Racing
Alien Rage,PC,4.4,Shooter
Dragon Fantasy Book II,PlayStation 3,3,RPG
Dragon Fantasy Book II,PlayStation Vita,3,RPG
Shadow Warrior,PC,8.6,Shooter
Guardians of Middle-earth,PC,7.9,Battle
Takedown: Red Sabre,PC,4,Shooter
Armored Core: Verdict Day,PlayStation 3,7.6,Simulation
Rain,PlayStation 3,7,Adventure
Disgaea D2: A Brighter Darkness ,PlayStation 3,9.1,Action
MechWarrior Online,PC,7.3,"Action, Simulation"
Carnivores: Dinosaur Hunter HD,PlayStation 3,4,Shooter
Warhammer Quest,iPhone,7.5,"Action, RPG"
NBA 2K14,Xbox 360,9.3,Sports
NBA 2K14,PlayStation 3,9.3,Sports
Scribblenauts Unmasked: A DC Comics Adventure,PC,9.1,"Puzzle, Action"
Scribblenauts Unmasked: A DC Comics Adventure,Nintendo 3DS,9.1,"Puzzle, Action"
Scribblenauts Unmasked: A DC Comics Adventure,Wii U,9.1,"Puzzle, Action"
Etrian Odyssey Untold: The Millennium Girl,Nintendo 3DS,8.5,RPG
FIFA 14,PlayStation 3,9,Sports
FIFA 14,PC,9,Sports
Narco Terror,PlayStation 3,6.5,Shooter
Narco Terror,PC,6.5,Shooter
ArmA III,PC,7,Shooter
Pro Evolution Soccer 2014,Xbox 360,8.4,Sports
Pro Evolution Soccer 2014,PlayStation 3,8.4,Sports
Pro Evolution Soccer 2014,PC,8.4,Sports
Infinity Blade III,iPhone,9.1,"Fighting, Action"
SteamWorld Dig,PlayStation Vita,9.5,Platformer
SteamWorld Dig,PlayStation 4,9.5,Platformer
SteamWorld Dig,Nintendo 3DS,9.5,Platformer
SteamWorld Dig,PC,9.5,Platformer
The Legend of Zelda: The Wind Waker HD (Nintendo eShop Edition),Wii U,9.8,"Action, Adventure"
The Legend of Zelda: The Wind Waker HD,Wii U,9.8,"Action, Adventure"
Grand Theft Auto V ,PlayStation 3,10,"Action, Adventure"
Grand Theft Auto V,Xbox 360,10,"Action, Adventure"
Call of Duty: Strike Team,iPhone,6,Shooter
Final Fantasy XIV Online: A Realm Reborn,PlayStation 4,8.6,RPG
Final Fantasy XIV Online: A Realm Reborn,PC,8.6,RPG
Final Fantasy XIV Online: A Realm Reborn,PlayStation 3,8.6,RPG
Kingdom Hearts HD 1.5 ReMIX,PlayStation 3,8.5,"Action, Compilation"
Amnesia: A Machine for Pigs,PC,8.3,Adventure
Diablo III,PlayStation 3,9,"Action, RPG"
Diablo III,Xbox 360,9,"Action, RPG"
Total War: Rome II,PC,8.8,Strategy
NHL 14,PlayStation 3,8.3,Sports
NHL 14,Xbox 360,8.3,Sports
Puppeteer,PlayStation 3,8.5,Platformer
Divekick,PC,7,Fighting
Divekick,PlayStation 3,7,Fighting
Divekick,PlayStation Vita,7,Fighting
Killzone: Mercenary,PlayStation Vita,8,Shooter
Outlast,PlayStation 4,7.8,"Action, Adventure"
Outlast,PC,7.8,"Action, Adventure"
Castle of Illusion Starring Mickey Mouse,PC,6.7,Platformer
Castle of Illusion Starring Mickey Mouse,Xbox 360,6.7,Platformer
Teenage Mutant Ninja Turtles: Out of the Shadows,Xbox 360,6.1,Action
Space Hulk (2013),PC,6.7,Strategy
Guncraft,PC,6.4,Shooter
Killer is Dead ,PlayStation 3,5,Action
Killer is Dead,Xbox 360,5,Action
Lost Planet 3,PlayStation 3,6.2,Action
Lost Planet 3,Xbox 360,6.2,Action
Lost Planet 3,PC,6.2,Action
Teleglitch: Die More Edition,Linux,7.8,Shooter
Teleglitch: Die More Edition,PC,7.8,Shooter
Teleglitch: Die More Edition,Macintosh,7.8,Shooter
Rayman Legends,Xbox 360,9.5,Platformer
Rayman Legends,PlayStation 3,9.5,Platformer
Rayman Legends,PlayStation 4,9.5,Platformer
Rayman Legends,Wii U,9.5,Platformer
Rayman Legends,Xbox One,9.5,Platformer
Rayman Legends,PC,9.5,Platformer
Madden NFL 25,Xbox 360,8.5,Sports
Madden NFL 25,PlayStation 3,8.5,Sports
Flashback,PlayStation 3,5.8,Action
Flashback,Xbox 360,5.8,Action
Flashback,PC,5.8,Action
Charlie Murder,Xbox 360,7,Action
The Bureau: XCOM Declassified,Xbox 360,5.5,Shooter
The Bureau: XCOM Declassified,PC,5.5,Shooter
The Bureau: XCOM Declassified,PlayStation 3,5.5,Shooter
The Wonderful 101,Wii U,7.4,Action
Disney Infinity,Xbox 360,8.7,Action
Disney Infinity ,PC,8.7,Action
Disney Infinity,PC,8.7,Action
Disney Infinity,Wii U,8.7,Action
Disney Infinity,PlayStation 3,8.7,Action
Gone Home,Macintosh,9.5,Simulation
Gone Home,PC,9.5,Simulation
Gone Home,Linux,9.5,Simulation
Europa Universalis IV,PC,8.9,Strategy
Tom Clancy's Splinter Cell: Blacklist,PC,9.2,Action
Tom Clancy's Splinter Cell: Blacklist,PlayStation 3,9.2,Action
Tom Clancy's Splinter Cell: Blacklist,Wii U,9.2,Action
Tom Clancy's Splinter Cell: Blacklist,Xbox 360,9.2,Action
Saints Row IV,Xbox 360,7.3,Action
Saints Row IV,PC,7.3,Action
Saints Row IV,PlayStation 3,7.3,Action
Dishonored: The Brigmore Witches,Xbox 360,7.5,Action
Dishonored: The Brigmore Witches,PC,7.5,Action
Dishonored: The Brigmore Witches,PlayStation 3,7.5,Action
PayDay 2,PlayStation 3,8,Shooter
PayDay 2,PC,8,Shooter
PayDay 2,Xbox 360,8,Shooter
"Papers, Please",PC,8.7,Simulation
DuckTales Remastered,Wii U,7,Platformer
DuckTales Remastered,PC,7,Platformer
DuckTales Remastered,PlayStation 3,7,Platformer
Guacamelee! ,PC,9.1,"Platformer, Action"
Ibb &amp; Obb,PlayStation 3,8.3,Platformer
Divinity: Dragon Commander,PC,7.8,"Strategy, RPG"
Spelunky,PC,9,Platformer
Brothers: A Tale of Two Sons,PC,8.2,Adventure
Brothers: A Tale of Two Sons,Xbox 360,8.2,Adventure
Brothers: A Tale of Two Sons,PlayStation 3,8.2,Adventure
Rise of the Triad,PC,4.3,Shooter
Tales of Xillia,PlayStation 3,8,RPG
Dragon's Crown,PlayStation Vita,8.5,Action
Dragon's Crown,PlayStation 3,8.5,Action
Halo: Spartan Assault,Windows Phone,6.7,Shooter
Halo: Spartan Assault,PC,6.7,Shooter
Halo: Spartan Assault,Windows Surface,6.7,Shooter
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,PlayStation 3,9,Adventure
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,PC,9,Adventure
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,Macintosh,9,Adventure
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,Linux,9,Adventure
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,Xbox 360,9,Adventure
Cloudberry Kingdom,PlayStation 3,7.4,Platformer
Cloudberry Kingdom,Wii U,7.4,Platformer
